Value,Identifier,Construction,Time Period,Adjustment
94.4,MV37,Private new housing,Oct to Dec 2021,Seasonally Adjusted
98.8,MV37,Private new housing,Jan to Mar 2022,Seasonally Adjusted
105.1,MV37,Private new housing,Apr to Jun 2022,Seasonally Adjusted
107.1,MV37,Private new housing,Jul to Sep 2022,Seasonally Adjusted
104.8,MV37,Private new housing,Oct to Dec 2022,Seasonally Adjusted
99.2,MV37,Private new housing,Jan to Mar 2023,Seasonally Adjusted
37.9,MV37,Private new housing,Jan 2010,Seasonally Adjusted
42.5,MV37,Private new housing,Feb 2010,Seasonally Adjusted
44,MV37,Private new housing,Mar 2010,Seasonally Adjusted
44.9,MV37,Private new housing,Apr 2010,Seasonally Adjusted
46.8,MV37,Private new housing,May 2010,Seasonally Adjusted
44.9,MV37,Private new housing,Jun 2010,Seasonally Adjusted
47.1,MV37,Private new housing,Jul 2010,Seasonally Adjusted
49.8,MV37,Private new housing,Aug 2010,Seasonally Adjusted
49.9,MV37,Private new housing,Sep 2010,Seasonally Adjusted
50.4,MV37,Private new housing,Oct 2010,Seasonally Adjusted
49.7,MV37,Private new housing,Nov 2010,Seasonally Adjusted
45.7,MV37,Private new housing,Dec 2010,Seasonally Adjusted
49,MV37,Private new housing,Jan 2011,Seasonally Adjusted
50.4,MV37,Private new housing,Feb 2011,Seasonally Adjusted
50.2,MV37,Private new housing,Mar 2011,Seasonally Adjusted
49.7,MV37,Private new housing,Apr 2011,Seasonally Adjusted
49.5,MV37,Private new housing,May 2011,Seasonally Adjusted
51.8,MV37,Private new housing,Jun 2011,Seasonally Adjusted
52.2,MV37,Private new housing,Jul 2011,Seasonally Adjusted
50.8,MV37,Private new housing,Aug 2011,Seasonally Adjusted
49.6,MV37,Private new housing,Sep 2011,Seasonally Adjusted
48.8,MV37,Private new housing,Oct 2011,Seasonally Adjusted
49.2,MV37,Private new housing,Nov 2011,Seasonally Adjusted
50.1,MV37,Private new housing,Dec 2011,Seasonally Adjusted
50.5,MV37,Private new housing,Jan 2012,Seasonally Adjusted
49,MV37,Private new housing,Feb 2012,Seasonally Adjusted
51.6,MV37,Private new housing,Mar 2012,Seasonally Adjusted
47.7,MV37,Private new housing,Apr 2012,Seasonally Adjusted
48.7,MV37,Private new housing,May 2012,Seasonally Adjusted
47.3,MV37,Private new housing,Jun 2012,Seasonally Adjusted
46.4,MV37,Private new housing,Jul 2012,Seasonally Adjusted
45.5,MV37,Private new housing,Aug 2012,Seasonally Adjusted
47.8,MV37,Private new housing,Sep 2012,Seasonally Adjusted
47.6,MV37,Private new housing,Oct 2012,Seasonally Adjusted
48.4,MV37,Private new housing,Nov 2012,Seasonally Adjusted
47.4,MV37,Private new housing,Dec 2012,Seasonally Adjusted
46.5,MV37,Private new housing,Jan 2013,Seasonally Adjusted
50.4,MV37,Private new housing,Feb 2013,Seasonally Adjusted
48.8,MV37,Private new housing,Mar 2013,Seasonally Adjusted
49.5,MV37,Private new housing,Apr 2013,Seasonally Adjusted
51.6,MV37,Private new housing,May 2013,Seasonally Adjusted
54.3,MV37,Private new housing,Jun 2013,Seasonally Adjusted
52.9,MV37,Private new housing,Jul 2013,Seasonally Adjusted
54.5,MV37,Private new housing,Aug 2013,Seasonally Adjusted
54.4,MV37,Private new housing,Sep 2013,Seasonally Adjusted
56.1,MV37,Private new housing,Oct 2013,Seasonally Adjusted
55.9,MV37,Private new housing,Nov 2013,Seasonally Adjusted
59.4,MV37,Private new housing,Dec 2013,Seasonally Adjusted
64.7,MV37,Private new housing,Jan 2014,Seasonally Adjusted
61.9,MV37,Private new housing,Feb 2014,Seasonally Adjusted
62.5,MV37,Private new housing,Mar 2014,Seasonally Adjusted
66.1,MV37,Private new housing,Apr 2014,Seasonally Adjusted
66.3,MV37,Private new housing,May 2014,Seasonally Adjusted
66.8,MV37,Private new housing,Jun 2014,Seasonally Adjusted
69.3,MV37,Private new housing,Jul 2014,Seasonally Adjusted
69.7,MV37,Private new housing,Aug 2014,Seasonally Adjusted
70.2,MV37,Private new housing,Sep 2014,Seasonally Adjusted
69.6,MV37,Private new housing,Oct 2014,Seasonally Adjusted
71.2,MV37,Private new housing,Nov 2014,Seasonally Adjusted
70.2,MV37,Private new housing,Dec 2014,Seasonally Adjusted
73.1,MV37,Private new housing,Jan 2015,Seasonally Adjusted
71.7,MV37,Private new housing,Feb 2015,Seasonally Adjusted
72.1,MV37,Private new housing,Mar 2015,Seasonally Adjusted
76.1,MV37,Private new housing,Apr 2015,Seasonally Adjusted
76.5,MV37,Private new housing,May 2015,Seasonally Adjusted
73,MV37,Private new housing,Jun 2015,Seasonally Adjusted
72.3,MV37,Private new housing,Jul 2015,Seasonally Adjusted
72.4,MV37,Private new housing,Aug 2015,Seasonally Adjusted
72.3,MV37,Private new housing,Sep 2015,Seasonally Adjusted
74.5,MV37,Private new housing,Oct 2015,Seasonally Adjusted
72.9,MV37,Private new housing,Nov 2015,Seasonally Adjusted
80.7,MV37,Private new housing,Dec 2015,Seasonally Adjusted
79.1,MV37,Private new housing,Jan 2016,Seasonally Adjusted
82.1,MV37,Private new housing,Feb 2016,Seasonally Adjusted
84.1,MV37,Private new housing,Mar 2016,Seasonally Adjusted
84.8,MV37,Private new housing,Apr 2016,Seasonally Adjusted
83.2,MV37,Private new housing,May 2016,Seasonally Adjusted
82.9,MV37,Private new housing,Jun 2016,Seasonally Adjusted
83.7,MV37,Private new housing,Jul 2016,Seasonally Adjusted
83.5,MV37,Private new housing,Aug 2016,Seasonally Adjusted
84.1,MV37,Private new housing,Sep 2016,Seasonally Adjusted
83.9,MV37,Private new housing,Oct 2016,Seasonally Adjusted
82.9,MV37,Private new housing,Nov 2016,Seasonally Adjusted
88.8,MV37,Private new housing,Dec 2016,Seasonally Adjusted
87.6,MV37,Private new housing,Jan 2017,Seasonally Adjusted
88.3,MV37,Private new housing,Feb 2017,Seasonally Adjusted
89.3,MV37,Private new housing,Mar 2017,Seasonally Adjusted
88.1,MV37,Private new housing,Apr 2017,Seasonally Adjusted
86.7,MV37,Private new housing,May 2017,Seasonally Adjusted
90.4,MV37,Private new housing,Jun 2017,Seasonally Adjusted
87.7,MV37,Private new housing,Jul 2017,Seasonally Adjusted
90.9,MV37,Private new housing,Aug 2017,Seasonally Adjusted
89.4,MV37,Private new housing,Sep 2017,Seasonally Adjusted
90.8,MV37,Private new housing,Oct 2017,Seasonally Adjusted
93.6,MV37,Private new housing,Nov 2017,Seasonally Adjusted
101.9,MV37,Private new housing,Dec 2017,Seasonally Adjusted
92.1,MV37,Private new housing,Jan 2018,Seasonally Adjusted
98.4,MV37,Private new housing,Feb 2018,Seasonally Adjusted
93,MV37,Private new housing,Mar 2018,Seasonally Adjusted
91.2,MV37,Private new housing,Apr 2018,Seasonally Adjusted
92.3,MV37,Private new housing,May 2018,Seasonally Adjusted
93.4,MV37,Private new housing,Jun 2018,Seasonally Adjusted
97.5,MV37,Private new housing,Jul 2018,Seasonally Adjusted
95.7,MV37,Private new housing,Aug 2018,Seasonally Adjusted
97.3,MV37,Private new housing,Sep 2018,Seasonally Adjusted
97.2,MV37,Private new housing,Oct 2018,Seasonally Adjusted
99.5,MV37,Private new housing,Nov 2018,Seasonally Adjusted
97.1,MV37,Private new housing,Dec 2018,Seasonally Adjusted
99.1,MV37,Private new housing,Jan 2019,Seasonally Adjusted
104.6,MV37,Private new housing,Feb 2019,Seasonally Adjusted
97.9,MV37,Private new housing,Mar 2019,Seasonally Adjusted
98.6,MV37,Private new housing,Apr 2019,Seasonally Adjusted
98.4,MV37,Private new housing,May 2019,Seasonally Adjusted
97.9,MV37,Private new housing,Jun 2019,Seasonally Adjusted
103.1,MV37,Private new housing,Jul 2019,Seasonally Adjusted
103.4,MV37,Private new housing,Aug 2019,Seasonally Adjusted
101.2,MV37,Private new housing,Sep 2019,Seasonally Adjusted
97.4,MV37,Private new housing,Oct 2019,Seasonally Adjusted
99.4,MV37,Private new housing,Nov 2019,Seasonally Adjusted
99.1,MV37,Private new housing,Dec 2019,Seasonally Adjusted
101.8,MV37,Private new housing,Jan 2020,Seasonally Adjusted
96.6,MV37,Private new housing,Feb 2020,Seasonally Adjusted
90.9,MV37,Private new housing,Mar 2020,Seasonally Adjusted
37.8,MV37,Private new housing,Apr 2020,Seasonally Adjusted
44.7,MV37,Private new housing,May 2020,Seasonally Adjusted
60.7,MV37,Private new housing,Jun 2020,Seasonally Adjusted
80.6,MV37,Private new housing,Jul 2020,Seasonally Adjusted
88.8,MV37,Private new housing,Aug 2020,Seasonally Adjusted
92.6,MV37,Private new housing,Sep 2020,Seasonally Adjusted
92.9,MV37,Private new housing,Oct 2020,Seasonally Adjusted
93.5,MV37,Private new housing,Nov 2020,Seasonally Adjusted
94.3,MV37,Private new housing,Dec 2020,Seasonally Adjusted
89.8,MV37,Private new housing,Jan 2021,Seasonally Adjusted
94.8,MV37,Private new housing,Feb 2021,Seasonally Adjusted
99.2,MV37,Private new housing,Mar 2021,Seasonally Adjusted
95.7,MV37,Private new housing,Apr 2021,Seasonally Adjusted
97.1,MV37,Private new housing,May 2021,Seasonally Adjusted
94.7,MV37,Private new housing,Jun 2021,Seasonally Adjusted
92.8,MV37,Private new housing,Jul 2021,Seasonally Adjusted
93.3,MV37,Private new housing,Aug 2021,Seasonally Adjusted
94.9,MV37,Private new housing,Sep 2021,Seasonally Adjusted
90.8,MV37,Private new housing,Oct 2021,Seasonally Adjusted
94.1,MV37,Private new housing,Nov 2021,Seasonally Adjusted
98.2,MV37,Private new housing,Dec 2021,Seasonally Adjusted
99,MV37,Private new housing,Jan 2022,Seasonally Adjusted
99.9,MV37,Private new housing,Feb 2022,Seasonally Adjusted
97.5,MV37,Private new housing,Mar 2022,Seasonally Adjusted
101.8,MV37,Private new housing,Apr 2022,Seasonally Adjusted
109.1,MV37,Private new housing,May 2022,Seasonally Adjusted
104.3,MV37,Private new housing,Jun 2022,Seasonally Adjusted
106.7,MV37,Private new housing,Jul 2022,Seasonally Adjusted
108.2,MV37,Private new housing,Aug 2022,Seasonally Adjusted
106.3,MV37,Private new housing,Sep 2022,Seasonally Adjusted
107.7,MV37,Private new housing,Oct 2022,Seasonally Adjusted
103.9,MV37,Private new housing,Nov 2022,Seasonally Adjusted
102.8,MV37,Private new housing,Dec 2022,Seasonally Adjusted
98.5,MV37,Private new housing,Jan 2023,Seasonally Adjusted
100.3,MV37,Private new housing,Feb 2023,Seasonally Adjusted
98.9,MV37,Private new housing,Mar 2023,Seasonally Adjusted
95.9,MV37,Private new housing,Apr 2023,Seasonally Adjusted
42,MVL7,Total new housing,1998,Seasonally Adjusted
37.7,MVL7,Total new housing,1999,Seasonally Adjusted
42.6,MVL7,Total new housing,2000,Seasonally Adjusted
40.1,MVL7,Total new housing,2001,Seasonally Adjusted
43.9,MVL7,Total new housing,2002,Seasonally Adjusted
54.3,MVL7,Total new housing,2003,Seasonally Adjusted
65.8,MVL7,Total new housing,2004,Seasonally Adjusted
67.2,MVL7,Total new housing,2005,Seasonally Adjusted
68.5,MVL7,Total new housing,2006,Seasonally Adjusted
68.6,MVL7,Total new housing,2007,Seasonally Adjusted
54.3,MVL7,Total new housing,2008,Seasonally Adjusted
39.9,MVL7,Total new housing,2009,Seasonally Adjusted
51.2,MVL7,Total new housing,2010,Seasonally Adjusted
54.8,MVL7,Total new housing,2011,Seasonally Adjusted
51.1,MVL7,Total new housing,2012,Seasonally Adjusted
55.7,MVL7,Total new housing,2013,Seasonally Adjusted
71.6,MVL7,Total new housing,2014,Seasonally Adjusted
74.9,MVL7,Total new housing,2015,Seasonally Adjusted
82.4,MVL7,Total new housing,2016,Seasonally Adjusted
90.1,MVL7,Total new housing,2017,Seasonally Adjusted
94,MVL7,Total new housing,2018,Seasonally Adjusted
100,MVL7,Total new housing,2019,Seasonally Adjusted
79.2,MVL7,Total new housing,2020,Seasonally Adjusted
91.3,MVL7,Total new housing,2021,Seasonally Adjusted
99.8,MVL7,Total new housing,2022,Seasonally Adjusted
40.9,MVL7,Total new housing,Jan to Mar 1997,Seasonally Adjusted
41.2,MVL7,Total new housing,Apr to June 1997,Seasonally Adjusted
42.3,MVL7,Total new housing,July to Sept 1997,Seasonally Adjusted
45.9,MVL7,Total new housing,Oct to Dec 1997,Seasonally Adjusted
42.4,MVL7,Total new housing,Jan to Mar 1998,Seasonally Adjusted
43.8,MVL7,Total new housing,Apr to June 1998,Seasonally Adjusted
41.6,MVL7,Total new housing,July to Sept 1998,Seasonally Adjusted
40.4,MVL7,Total new housing,Oct to Dec 1998,Seasonally Adjusted
38.6,MVL7,Total new housing,Jan to Mar 1999,Seasonally Adjusted
38.4,MVL7,Total new housing,Apr to June 1999,Seasonally Adjusted
38.1,MVL7,Total new housing,July to Sept 1999,Seasonally Adjusted
35.6,MVL7,Total new housing,Oct to Dec 1999,Seasonally Adjusted
42.9,MVL7,Total new housing,Jan to Mar 2000,Seasonally Adjusted
42.8,MVL7,Total new housing,Apr to June 2000,Seasonally Adjusted
42.6,MVL7,Total new housing,July to Sept 2000,Seasonally Adjusted
41.9,MVL7,Total new housing,Oct to Dec 2000,Seasonally Adjusted
37.9,MVL7,Total new housing,Jan to Mar 2001,Seasonally Adjusted
40,MVL7,Total new housing,Apr to June 2001,Seasonally Adjusted
41.1,MVL7,Total new housing,July to Sept 2001,Seasonally Adjusted
41.4,MVL7,Total new housing,Oct to Dec 2001,Seasonally Adjusted
41.8,MVL7,Total new housing,Jan to Mar 2002,Seasonally Adjusted
41.5,MVL7,Total new housing,Apr to June 2002,Seasonally Adjusted
44.9,MVL7,Total new housing,July to Sept 2002,Seasonally Adjusted
47.4,MVL7,Total new housing,Oct to Dec 2002,Seasonally Adjusted
49.7,MVL7,Total new housing,Jan to Mar 2003,Seasonally Adjusted
51.2,MVL7,Total new housing,Apr to June 2003,Seasonally Adjusted
55.5,MVL7,Total new housing,July to Sept 2003,Seasonally Adjusted
60.6,MVL7,Total new housing,Oct to Dec 2003,Seasonally Adjusted
64.6,MVL7,Total new housing,Jan to Mar 2004,Seasonally Adjusted
65.7,MVL7,Total new housing,Apr to June 2004,Seasonally Adjusted
66.5,MVL7,Total new housing,July to Sept 2004,Seasonally Adjusted
66.6,MVL7,Total new housing,Oct to Dec 2004,Seasonally Adjusted
66.7,MVL7,Total new housing,Jan to Mar 2005,Seasonally Adjusted
68.2,MVL7,Total new housing,Apr to June 2005,Seasonally Adjusted
67.1,MVL7,Total new housing,July to Sept 2005,Seasonally Adjusted
66.8,MVL7,Total new housing,Oct to Dec 2005,Seasonally Adjusted
66.8,MVL7,Total new housing,Jan to Mar 2006,Seasonally Adjusted
68,MVL7,Total new housing,Apr to June 2006,Seasonally Adjusted
69.2,MVL7,Total new housing,July to Sept 2006,Seasonally Adjusted
69.9,MVL7,Total new housing,Oct to Dec 2006,Seasonally Adjusted
70.7,MVL7,Total new housing,Jan to Mar 2007,Seasonally Adjusted
69.6,MVL7,Total new housing,Apr to June 2007,Seasonally Adjusted
68.2,MVL7,Total new housing,July to Sept 2007,Seasonally Adjusted
66,MVL7,Total new housing,Oct to Dec 2007,Seasonally Adjusted
62.8,MVL7,Total new housing,Jan to Mar 2008,Seasonally Adjusted
57.6,MVL7,Total new housing,Apr to June 2008,Seasonally Adjusted
51.8,MVL7,Total new housing,July to Sept 2008,Seasonally Adjusted
45.1,MVL7,Total new housing,Oct to Dec 2008,Seasonally Adjusted
40.1,MVL7,Total new housing,Jan to Mar 2009,Seasonally Adjusted
39.1,MVL7,Total new housing,Apr to June 2009,Seasonally Adjusted
38.7,MVL7,Total new housing,July to Sept 2009,Seasonally Adjusted
41.6,MVL7,Total new housing,Oct to Dec 2009,Seasonally Adjusted
46.1,MVL7,Total new housing,Jan to Mar 2010,Seasonally Adjusted
50.2,MVL7,Total new housing,Apr to June 2010,Seasonally Adjusted
54.5,MVL7,Total new housing,July to Sept 2010,Seasonally Adjusted
53.8,MVL7,Total new housing,Oct to Dec 2010,Seasonally Adjusted
55.6,MVL7,Total new housing,Jan to Mar 2011,Seasonally Adjusted
55.4,MVL7,Total new housing,Apr to June 2011,Seasonally Adjusted
54.9,MVL7,Total new housing,July to Sept 2011,Seasonally Adjusted
53.4,MVL7,Total new housing,Oct to Dec 2011,Seasonally Adjusted
53.9,MVL7,Total new housing,Jan to Mar 2012,Seasonally Adjusted
50.5,MVL7,Total new housing,Apr to June 2012,Seasonally Adjusted
49.5,MVL7,Total new housing,July to Sept 2012,Seasonally Adjusted
50.6,MVL7,Total new housing,Oct to Dec 2012,Seasonally Adjusted
51.4,MVL7,Total new housing,Jan to Mar 2013,Seasonally Adjusted
54.4,MVL7,Total new housing,Apr to June 2013,Seasonally Adjusted
56.5,MVL7,Total new housing,July to Sept 2013,Seasonally Adjusted
60.6,MVL7,Total new housing,Oct to Dec 2013,Seasonally Adjusted
66.9,MVL7,Total new housing,Jan to Mar 2014,Seasonally Adjusted
71,MVL7,Total new housing,Apr to June 2014,Seasonally Adjusted
74.2,MVL7,Total new housing,July to Sept 2014,Seasonally Adjusted
74.3,MVL7,Total new housing,Oct to Dec 2014,Seasonally Adjusted
75.3,MVL7,Total new housing,Jan to Mar 2015,Seasonally Adjusted
76.8,MVL7,Total new housing,Apr to June 2015,Seasonally Adjusted
72.2,MVL7,Total new housing,July to Sept 2015,Seasonally Adjusted
75.1,MVL7,Total new housing,Oct to Dec 2015,Seasonally Adjusted
81.1,MVL7,Total new housing,Jan to Mar 2016,Seasonally Adjusted
82.1,MVL7,Total new housing,Apr to June 2016,Seasonally Adjusted
82.4,MVL7,Total new housing,July to Sept 2016,Seasonally Adjusted
84.1,MVL7,Total new housing,Oct to Dec 2016,Seasonally Adjusted
88.3,MVL7,Total new housing,Jan to Mar 2017,Seasonally Adjusted
88.4,MVL7,Total new housing,Apr to June 2017,Seasonally Adjusted
89.2,MVL7,Total new housing,July to Sept 2017,Seasonally Adjusted
94.5,MVL7,Total new housing,Oct to Dec 2017,Seasonally Adjusted
92.8,MVL7,Total new housing,Jan to Mar 2018,Seasonally Adjusted
91,MVL7,Total new housing,Apr to June 2018,Seasonally Adjusted
95.4,MVL7,Total new housing,July to Sept 2018,Seasonally Adjusted
96.7,MVL7,Total new housing,Oct to Dec 2018,Seasonally Adjusted
99.8,MVL7,Total new housing,Jan to Mar 2019,Seasonally Adjusted
99.1,MVL7,Total new housing,Apr to June 2019,Seasonally Adjusted
101.9,MVL7,Total new housing,July to Sept 2019,Seasonally Adjusted
99.2,MVL7,Total new housing,Oct to Dec 2019,Seasonally Adjusted
96.7,MVL7,Total new housing,Jan to Mar 2020,Seasonally Adjusted
46.2,MVL7,Total new housing,Apr to June 2020,Seasonally Adjusted
84.3,MVL7,Total new housing,July to Sept 2020,Seasonally Adjusted
89.5,MVL7,Total new housing,Oct to Dec 2020,Seasonally Adjusted
90.8,MVL7,Total new housing,Jan to Mar 2021,Seasonally Adjusted
92,MVL7,Total new housing,Apr to June 2021,Seasonally Adjusted
90.8,MVL7,Total new housing,July to Sept 2021,Seasonally Adjusted
91.6,MVL7,Total new housing,Oct to Dec 2021,Seasonally Adjusted
96,MVL7,Total new housing,Jan to Mar 2022,Seasonally Adjusted
100.8,MVL7,Total new housing,Apr to Jun 2022,Seasonally Adjusted
101.7,MVL7,Total new housing,Jul to Sep 2022,Seasonally Adjusted
100.5,MVL7,Total new housing,Oct to Dec 2022,Seasonally Adjusted
96,MVL7,Total new housing,Jan to Mar 2023,Seasonally Adjusted
41.8,MVL7,Total new housing,Jan 2010,Seasonally Adjusted
48,MVL7,Total new housing,Feb 2010,Seasonally Adjusted
